storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
4,oven,bsfl,control,oven,tvc,2,4.1,1.95
4,oven,bsfl,control,oven,tvc,3,3.8,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,1,3.4,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,2,3.5,1.95
4,oven,bsfl,leeb,oven_leeb,tvc,3,3.4,1.95
5,oven,bsfl,control,oven,tvc,1,4.2,1.95
5,oven,bsfl,control,oven,tvc,2,3.8,1.95
5,oven,bsfl,control,oven,tvc,3,4,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,1,3.7,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,2,3.4,1.95
5,oven,bsfl,leeb,oven_leeb,tvc,3,3.5,1.95
6,oven,bsfl,control,oven,tvc,1,4.2,1.95
6,oven,bsfl,control,oven,tvc,2,4,1.95
6,oven,bsfl,control,oven,tvc,3,3.9,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,1,3.3,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,2,3.4,1.95
6,oven,bsfl,leeb,oven_leeb,tvc,3,3.2,1.95
0,oven,bsfl,control,oven,anaer.tvc,1,2.1,1
0,oven,bsfl,control,oven,anaer.tvc,2,2.4,1
0,oven,bsfl,control,oven,anaer.tvc,3,1.7,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
0,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1.2,1
1,oven,bsfl,control,oven,anaer.tvc,1,1.7,1
1,oven,bsfl,control,oven,anaer.tvc,2,1.7,1
1,oven,bsfl,control,oven,anaer.tvc,3,1.8,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,1,1
1,oven,bsfl,leeb,oven_leeb,anaer.tvc,3,1,1
2,oven,bsfl,control,oven,anaer.tvc,1,1.87,1
2,oven,bsfl,control,oven,anaer.tvc,2,1.7,1
2,oven,bsfl,control,oven,anaer.tvc,3,1,1
2,oven,bsfl,leeb,oven_leeb,anaer.tvc,1,1.67,1
2,oven,bsfl,leeb,oven_leeb,anaer.tvc,2,2.42,1
