storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
2,oven,mw,control,oven,moisture_content,3,6.8,
2,oven,mw,leeb,oven_leeb,moisture_content,1,6.7,
2,oven,mw,leeb,oven_leeb,moisture_content,2,7.1,
2,oven,mw,leeb,oven_leeb,moisture_content,3,6.3,
3,oven,mw,control,oven,moisture_content,1,6.6,
3,oven,mw,control,oven,moisture_content,2,6.6,
3,oven,mw,control,oven,moisture_content,3,6.5,
3,oven,mw,leeb,oven_leeb,moisture_content,1,5.4,
3,oven,mw,leeb,oven_leeb,moisture_content,2,6.6,
3,oven,mw,leeb,oven_leeb,moisture_content,3,6.1,
4,oven,mw,control,oven,moisture_content,1,8.1,
4,oven,mw,control,oven,moisture_content,2,7.8,
4,oven,mw,control,oven,moisture_content,3,7.9,
4,oven,mw,leeb,oven_leeb,moisture_content,1,8.1,
4,oven,mw,leeb,oven_leeb,moisture_content,2,7.8,
4,oven,mw,leeb,oven_leeb,moisture_content,3,9,
5,oven,mw,control,oven,moisture_content,1,8,
5,oven,mw,control,oven,moisture_content,2,8.3,
5,oven,mw,control,oven,moisture_content,3,8.2,
5,oven,mw,leeb,oven_leeb,moisture_content,1,8.5,
5,oven,mw,leeb,oven_leeb,moisture_content,2,8.5,
5,oven,mw,leeb,oven_leeb,moisture_content,3,8.6,
6,oven,mw,control,oven,moisture_content,1,7.4,
6,oven,mw,control,oven,moisture_content,2,7,
6,oven,mw,control,oven,moisture_content,3,6.8,
6,oven,mw,leeb,oven_leeb,moisture_content,1,7.2,
6,oven,mw,leeb,oven_leeb,moisture_content,2,7.1,
6,oven,mw,leeb,oven_leeb,moisture_content,3,7.6,
0,oven,bsfl,control,oven,moisture_content,1,2.4,
0,oven,bsfl,control,oven,moisture_content,2,2.2,
0,oven,bsfl,control,oven,moisture_content,3,2.3,
0,oven,bsfl,leeb,oven_leeb,moisture_content,1,2.4,
0,oven,bsfl,leeb,oven_leeb,moisture_content,2,2.3,
0,oven,bsfl,leeb,oven_leeb,moisture_content,3,2.6,
1,oven,bsfl,control,oven,moisture_content,1,3.1,
1,oven,bsfl,control,oven,moisture_content,2,2.8,
1,oven,bsfl,control,oven,moisture_content,3,3,
1,oven,bsfl,leeb,oven_leeb,moisture_content,1,3,
1,oven,bsfl,leeb,oven_leeb,moisture_content,2,3.3,
1,oven,bsfl,leeb,oven_leeb,moisture_content,3,3.1,
2,oven,bsfl,control,oven,moisture_content,1,4.4,
2,oven,bsfl,control,oven,moisture_content,2,4.2,
2,oven,bsfl,control,oven,moisture_content,3,4,
2,oven,bsfl,leeb,oven_leeb,moisture_content,1,4.3,
2,oven,bsfl,leeb,oven_leeb,moisture_content,2,4.5,
2,oven,bsfl,leeb,oven_leeb,moisture_content,3,4.3,
3,oven,bsfl,control,oven,moisture_content,1,4.1,
3,oven,bsfl,control,oven,moisture_content,2,4,
3,oven,bsfl,control,oven,moisture_content,3,3.9,
3,oven,bsfl,leeb,oven_leeb,moisture_content,1,4.2,
3,oven,bsfl,leeb,oven_leeb,moisture_content,2,4.4,
3,oven,bsfl,leeb,oven_leeb,moisture_content,3,4.4,
4,oven,bsfl,control,oven,moisture_content,1,5.3,
4,oven,bsfl,control,oven,moisture_content,2,5.3,
4,oven,bsfl,control,oven,moisture_content,3,5.1,
4,oven,bsfl,leeb,oven_leeb,moisture_content,1,5,
4,oven,bsfl,leeb,oven_leeb,moisture_content,2,5,
4,oven,bsfl,leeb,oven_leeb,moisture_content,3,4.9,
5,oven,bsfl,control,oven,moisture_content,1,5.4,
5,oven,bsfl,control,oven,moisture_content,2,5.4,
5,oven,bsfl,control,oven,moisture_content,3,5.5,
5,oven,bsfl,leeb,oven_leeb,moisture_content,1,5.7,
5,oven,bsfl,leeb,oven_leeb,moisture_content,2,5.5,
5,oven,bsfl,leeb,oven_leeb,moisture_content,3,5.7,
6,oven,bsfl,control,oven,moisture_content,1,4.9,
6,oven,bsfl,control,oven,moisture_content,2,4.9,
6,oven,bsfl,control,oven,moisture_content,3,4.9,
6,oven,bsfl,leeb,oven_leeb,moisture_content,1,4.7,
6,oven,bsfl,leeb,oven_leeb,moisture_content,2,4.9,
6,oven,bsfl,leeb,oven_leeb,moisture_content,3,5,
0,oven,mw,control,oven,aw,1,0.41,
0,oven,mw,control,oven,aw,2,0.42,
0,oven,mw,control,oven,aw,3,0.42,
0,oven,mw,leeb,oven_leeb,aw,1,0.41,
0,oven,mw,leeb,oven_leeb,aw,2,0.41,
0,oven,mw,leeb,oven_leeb,aw,3,0.41,
1,oven,mw,control,oven,aw,1,0.46,
1,oven,mw,control,oven,aw,2,0.45,
1,oven,mw,control,oven,aw,3,0.46,
1,oven,mw,leeb,oven_leeb,aw,1,0.44,
1,oven,mw,leeb,oven_leeb,aw,2,0.43,
1,oven,mw,leeb,oven_leeb,aw,3,0.44,
2,oven,mw,control,oven,aw,1,0.5,
2,oven,mw,control,oven,aw,2,0.5,
2,oven,mw,control,oven,aw,3,0.41,
2,oven,mw,leeb,oven_leeb,aw,1,0.42,
2,oven,mw,leeb,oven_leeb,aw,2,0.43,
2,oven,mw,leeb,oven_leeb,aw,3,0.41,
3,oven,mw,control,oven,aw,1,0.48,
3,oven,mw,control,oven,aw,2,0.44,
3,oven,mw,control,oven,aw,3,0.4,
3,oven,mw,leeb,oven_leeb,aw,1,0.46,
3,oven,mw,leeb,oven_leeb,aw,2,0.42,
3,oven,mw,leeb,oven_leeb,aw,3,0.37,
4,oven,mw,control,oven,aw,1,0.54,
4,oven,mw,control,oven,aw,2,0.53,
4,oven,mw,control,oven,aw,3,0.52,
4,oven,mw,leeb,oven_leeb,aw,1,0.52,
4,oven,mw,leeb,oven_leeb,aw,2,0.46,
4,oven,mw,leeb,oven_leeb,aw,3,0.48,
5,oven,mw,control,oven,aw,1,0.56,
5,oven,mw,control,oven,aw,2,0.53,
5,oven,mw,control,oven,aw,3,0.51,
5,oven,mw,leeb,oven_leeb,aw,1,0.51,
5,oven,mw,leeb,oven_leeb,aw,2,0.5,
5,oven,mw,leeb,oven_leeb,aw,3,0.47,
6,oven,mw,control,oven,aw,1,0.54,
6,oven,mw,control,oven,aw,2,0.49,
6,oven,mw,control,oven,aw,3,0.49,
6,oven,mw,leeb,oven_leeb,aw,1,0.47,
6,oven,mw,leeb,oven_leeb,aw,2,0.5,
6,oven,mw,leeb,oven_leeb,aw,3,0.5,
0,oven,bsfl,control,oven,aw,1,0.38,
0,oven,bsfl,control,oven,aw,2,0.3,
0,oven,bsfl,control,oven,aw,3,0.31,
0,oven,bsfl,leeb,oven_leeb,aw,1,0.31,
0,oven,bsfl,leeb,oven_leeb,aw,2,0.3,
0,oven,bsfl,leeb,oven_leeb,aw,3,0.3,
1,oven,bsfl,control,oven,aw,1,0.36,
1,oven,bsfl,control,oven,aw,2,0.4,
1,oven,bsfl,control,oven,aw,3,0.37,
1,oven,bsfl,leeb,oven_leeb,aw,1,0.38,
1,oven,bsfl,leeb,oven_leeb,aw,2,0.38,
1,oven,bsfl,leeb,oven_leeb,aw,3,0.37,
2,oven,bsfl,control,oven,aw,1,0.43,
2,oven,bsfl,control,oven,aw,2,0.41,
2,oven,bsfl,control,oven,aw,3,0.41,
2,oven,bsfl,leeb,oven_leeb,aw,1,0.4,
2,oven,bsfl,leeb,oven_leeb,aw,2,0.41,
2,oven,bsfl,leeb,oven_leeb,aw,3,0.42,
3,oven,bsfl,control,oven,aw,1,0.41,
3,oven,bsfl,control,oven,aw,2,0.41,
3,oven,bsfl,control,oven,aw,3,0.4,
3,oven,bsfl,leeb,oven_leeb,aw,1,0.41,
3,oven,bsfl,leeb,oven_leeb,aw,2,0.42,
3,oven,bsfl,leeb,oven_leeb,aw,3,0.4,
4,oven,bsfl,control,oven,aw,1,0.48,
4,oven,bsfl,control,oven,aw,2,0.49,
4,oven,bsfl,control,oven,aw,3,0.48,
4,oven,bsfl,leeb,oven_leeb,aw,1,0.47,
4,oven,bsfl,leeb,oven_leeb,aw,2,0.46,
4,oven,bsfl,leeb,oven_leeb,aw,3,0.47,
5,oven,bsfl,control,oven,aw,1,0.49,
5,oven,bsfl,control,oven,aw,2,0.48,
5,oven,bsfl,control,oven,aw,3,0.47,
5,oven,bsfl,leeb,oven_leeb,aw,1,0.47,
5,oven,bsfl,leeb,oven_leeb,aw,2,0.49,
5,oven,bsfl,leeb,oven_leeb,aw,3,0.47,
6,oven,bsfl,control,oven,aw,1,0.45,
6,oven,bsfl,control,oven,aw,2,0.43,
6,oven,bsfl,control,oven,aw,3,0.43,
6,oven,bsfl,leeb,oven_leeb,aw,1,0.44,
6,oven,bsfl,leeb,oven_leeb,aw,2,0.44,
6,oven,bsfl,leeb,oven_leeb,aw,3,0.42,
0,micro,bsfl,control,micro,moisture_content,1,6.2,
0,micro,bsfl,control,micro,moisture_content,2,6.3,
0,micro,bsfl,leeb,micro_leeb,moisture_content,1,7.3,
0,micro,bsfl,leeb,micro_leeb,moisture_content,2,7.2,
0,micro,mw,control,micro,moisture_content,1,6.1,
0,micro,mw,control,micro,moisture_content,2,6.1,
0,micro,mw,leeb,micro_leeb,moisture_content,1,5.9,
0,micro,mw,leeb,micro_leeb,moisture_content,2,6,
0,micro,bsfl,control,micro,aw,1,0.41,
0,micro,bsfl,control,micro,aw,2,0.38,
0,micro,bsfl,leeb,micro_leeb,aw,1,0.44,
0,micro,bsfl,leeb,micro_leeb,aw,2,0.43,
0,micro,mw,control,micro,aw,1,0.47,
0,micro,mw,control,micro,aw,2,0.47,
0,micro,mw,leeb,micro_leeb,aw,1,0.47,
0,micro,mw,leeb,micro_leeb,aw,2,0.46,
